delta,theta,alpha,beta,gamma,     deltaRIR,thetaRIR,alphaRIR,betaRIR,gammaRIR,     PFD,HFD,hjorth_mobility,hjorth_complexity,     spec_entropy,svd_entropy,fisher_info,     approx_entropy,DFA,Hurst
9.078161045680133157e+00,8.722721638225268415e-02,9.865835770819579575e-02,9.958385852375144509e-01,6.498874470358133593e+00,5.416964752483538481e-01,5.204873037857827602e-03,5.886972521791940249e-03,5.942197421097349108e-02,3.877897049810229424e-01,5.893374914205662396e-01,1.367639098058928582e+00,2.320015932109970036e-02,6.524887824059304364e+01,3.463557728625210608e-01,1.171409630876344643e+00,6.007223377817370036e-01,-1.830109473809601482e-03,0.000000000000000000e+00,3.165415630842565164e-01
9.095779154865187621e+00,1.217311736756888085e-01,1.872484141064624241e-01,1.271897846292072698e+00,6.619436204944310731e+00,5.258863526727639570e-01,7.038073576867928151e-03,1.082605281654580240e-02,7.353671499391142841e-02,3.827128059399108051e-01,5.944240987587744440e-01,1.344212634005352625e+00,2.319456720753896098e-02,6.528590407844649235e+01,3.813631530338644215e-01,1.189031296429298834e+00,5.941989456024531213e-01,-3.202060761279746336e-03,0.000000000000000000e+00,3.417670648063960148e-01
9.064835324852383636e+00,1.754559546917319468e-01,2.500816464721986598e-01,1.461380680778821883e+00,7.560757886522722515e+00,4.896599431214052056e-01,9.477695922298995379e-03,1.350879088245083952e-02,7.894016332177895834e-02,4.084134067520659439e-01,5.988382967930719891e-01,1.311481768221641531e+00,2.406613741637304849e-02,6.276417828176562352e+01,4.053435525949056761e-01,1.214012063162745347e+00,5.795935643320571096e-01,-1.036427391400707165e-02,0.000000000000000000e+00,3.408355721867814547e-01
9.178907268893830462e+00,1.475368366445728441e-01,2.771790076034905681e-01,1.138388991456274590e+00,6.722874058007239029e+00,5.255635326468410806e-01,8.447626584619165324e-03,1.587064496286078735e-02,6.518158669099793912e-02,3.849366091146810276e-01,5.977033722676360350e-01,1.319733648014394189e+00,2.426983805339073125e-02,6.206152823312385181e+01,3.865663868305203033e-01,1.219017552320685205e+00,5.797900535834171754e-01,1.203836744162564698e-02,0.000000000000000000e+00,3.434167245811119429e-01
9.221280890310561418e+00,1.366789507777012025e-01,2.451157995845365256e-01,1.138430299507863896e+00,7.983662825848992561e+00,4.924538200712715863e-01,7.299210623172481920e-03,1.309017839290262629e-02,6.079679781434878943e-02,4.263599930983046349e-01,5.944240987587744440e-01,1.309985345417577385e+00,2.426054144597826479e-02,6.165085684276289868e+01,3.800990806637826180e-01,1.264084571076840025e+00,5.724803520064049023e-01,1.232245541811927657e-03,0.000000000000000000e+00,3.562026043612301907e-01
9.152668847325800883e+00,1.764411239243887930e-01,2.036661241904128561e-01,1.444427006238551359e+00,9.020177439043804313e+00,4.576933878258291344e-01,8.823211798419373225e-03,1.018464012202319191e-02,7.223081059527267089e-02,4.510679496584557024e-01,5.903197182451456193e-01,1.296571744925190117e+00,2.418717845535814370e-02,6.251095943857378501e+01,3.951566858557879480e-01,1.294224562897205111e+00,5.824478846804581611e-01,2.413257384535550526e-02,0.000000000000000000e+00,3.466994016373944332e-01
9.253154370246651439e+00,1.607685210636942141e-01,1.582863879578050303e-01,1.171079467735871349e+00,8.051090788951315247e+00,4.923362515130939032e-01,8.554074411242446399e-03,8.422006571432110941e-03,6.231008932726356253e-02,4.283775781769680324e-01,5.944240987587744440e-01,1.309831971709797482e+00,2.464368398268765650e-02,6.129609987190178799e+01,3.745258706773794688e-01,1.311558042647517519e+00,5.580914917092404393e-01,-1.987553506049603846e-02,0.000000000000000000e+00,3.789163777158248703e-01
9.235531975984077491e+00,8.971385259720651706e-02,1.757361646243277564e-01,1.407012464865553314e+00,9.032564423113296215e+00,4.631531157684127264e-01,4.499064100046806444e-03,8.813000963084797329e-03,7.056033249866351664e-02,4.529744866697921202e-01,5.923356877662105946e-01,1.357432302652396672e+00,2.651974129650475770e-02,5.819259781366410067e+01,3.787501911837463653e-01,1.263336766211914597e+00,5.663925591642297031e-01,-5.630895827271430306e-04,0.000000000000000000e+00,3.164875341346098381e-01
9.180448884312610858e+00,8.727351767722091314e-02,1.559071383651231824e-01,1.458830412795523168e+00,8.891174086972808865e+00,4.642772727402701971e-01,4.413630671030501981e-03,7.884597138227967400e-03,7.377654556746451875e-02,4.496479538830067679e-01,5.893374914205662396e-01,1.361321433876691245e+00,2.634223717376457663e-02,5.828554375411448518e+01,3.794251394235395036e-01,1.260077000355662058e+00,5.677643011877995249e-01,1.458162669967840060e-02,0.000000000000000000e+00,2.948564212400217044e-01
9.134494696960610227e+00,1.302094257319049431e-01,1.474227344955535979e-01,1.454290751358032097e+00,8.685520281958163835e+00,4.671912701501029219e-01,6.659668543400161338e-03,7.540057426591560870e-03,7.438090073231735933e-02,4.442281031475880937e-01,5.874219543968483004e-01,1.338948963963867422e+00,2.550743984630482117e-02,5.944288820761430259e+01,3.846383916452086882e-01,1.319167170573211978e+00,5.599551238177610246e-01,1.084081167939183327e-02,0.000000000000000000e+00,2.962686412682401516e-01
